#Gene_name	pLi	pRec	pNull	Gene_full_name	Function_description	Disease_description	Tissue_specificity(Uniprot)	Expression(egenetics)	Expression(GNF/Atlas)	P(HI)	P(rec)	RVIS	RVIS_percentile	GDI	GDI-Phred
RSC1A1	1.4572097447573e-08	0.0599496494939228	0.94005033593398	regulatory solute carrier protein, family 1, member 1	FUNCTION: Mediates transcriptional and post-transcriptional regulation of SLC5A1. Inhibits a dynamin and PKC-dependent exocytotic pathway of SLC5A1. Also involved in transcriptional regulation of SLC22A2. Exhibits glucose-dependent, short-term inhibition of SLC5A1 and SLC22A2 by inhibiting the release of vesicles from the trans-Golgi network. {ECO:0000269|PubMed:14724758, ECO:0000269|PubMed:16788146, ECO:0000269|PubMed:8836035}.; 	.	TISSUE SPECIFICITY: Expressed in small intestine, kidney and brain. {ECO:0000269|PubMed:8836035}.; 	unclassifiable (Anatomical System);lymph node;sympathetic chain;colon;skeletal muscle;breast;frontal lobe;cochlea;larynx;nasopharynx;placenta;thyroid;liver;head and neck;spleen;kidney;brain;stomach;	.	0.41597	0.23021	1.067416815	91.66666667	1729.18109	7.67578
RSF1	0.999999962570394	3.74296059174351e-08	1.74193208212563e-19	remodeling and spacing factor 1	FUNCTION: Required for assembly of regular nucleosome arrays by the RSF chromatin-remodeling complex. Facilitates transcription of hepatitis B virus (HBV) genes by the pX transcription activator. In case of infection by HBV, together with pX, it represses TNF- alpha induced NF-kappa-B transcription activation. Represses transcription when artificially recruited to chromatin by fusion to a heterogeneous DNA binding domain. {ECO:0000269|PubMed:11788598, ECO:0000269|PubMed:12972596}.; 	.	TISSUE SPECIFICITY: Ubiquitously expressed.; 	lymphoreticular;ovary;colon;parathyroid;fovea centralis;choroid;skin;retina;bone marrow;uterus;prostate;optic nerve;larynx;bone;thyroid;iris;testis;germinal center;spinal ganglion;brain;gall bladder;unclassifiable (Anatomical System);lymph node;cartilage;heart;epidermis;islets of Langerhans;lens;skeletal muscle;breast;pancreas;lung;placenta;macula lutea;liver;spleen;head and neck;cervix;kidney;mammary gland;stomach;	superior cervical ganglion;pons;trigeminal ganglion;skeletal muscle;	0.82615	0.10928	0.387604191	75.69591885	216.63215	3.18104
RSF1-IT1	.	.	.	RSF1 intronic transcript 1	.	.	.	.	.	.	.	.	.	.	.
RSF1-IT2	.	.	.	RSF1 intronic transcript 2	.	.	.	.	.	.	.	.	.	.	.
RSG1	1.08197156167219e-06	0.104062182706987	0.895936735321451	REM2 and RAB like small GTPase 1	FUNCTION: Potential effector of the planar cell polarity signaling pathway. Plays a role in targeted membrane trafficking most probably at the level of vesicle fusion with membranes. Involved in cilium biogenesis by regulating the transport of cargo proteins to the basal body and to the apical tips of cilia. More generally involved in exocytosis in secretory cells (By similarity). {ECO:0000250}.; 	.	.	.	.	0.08558	0.10190	-0.115612493	45.12856806	47.84625	1.34321
RSL1D1	0.000364294182041933	0.953224039579425	0.046411666238533	ribosomal L1 domain containing 1	FUNCTION: Regulates cellular senescence through inhibition of PTEN translation. Acts as a pro-apoptotic regulator in response to DNA damage. {ECO:0000269|PubMed:18678645, ECO:0000269|PubMed:22419112}.; 	.	TISSUE SPECIFICITY: Expressed at high intensities in the heart, skeletal muscle, and placenta. {ECO:0000269|PubMed:18678645, ECO:0000269|PubMed:9859858}.; 	myocardium;medulla oblongata;ovary;umbilical cord;skin;retina;bone marrow;prostate;frontal lobe;endometrium;thyroid;germinal center;brain;bladder;heart;cartilage;tongue;pineal body;adrenal cortex;pharynx;blood;lens;skeletal muscle;breast;trabecular meshwork;visual apparatus;liver;alveolus;spleen;cervix;mammary gland;peripheral nerve;salivary gland;developmental;intestine;colon;parathyroid;uterus;whole body;cerebral cortex;bone;pituitary gland;testis;dura mater;artery;pineal gland;unclassifiable (Anatomical System);meninges;lymph node;islets of Langerhans;hypothalamus;muscle;bile duct;pancreas;pia mater;lung;adrenal gland;nasopharynx;placenta;duodenum;head and neck;kidney;stomach;aorta;	superior cervical ganglion;	0.81838	0.09725	-0.110153916	45.48832272	96.88278	2.12759
RSL24D1	0.946909507265446	0.0529101147101083	0.000180378024445716	ribosomal L24 domain containing 1	FUNCTION: Involved in the biogenesis of the 60S ribosomal subunit. Ensures the docking of GTPBP4/NOG1 to pre-60S particles (By similarity). {ECO:0000250}.; 	.	.	ovary;salivary gland;intestine;colon;parathyroid;fovea centralis;skin;bone marrow;uterus;prostate;whole body;frontal lobe;endometrium;bone;thyroid;pituitary gland;testis;brain;pineal gland;artery;bladder;unclassifiable (Anatomical System);lymph node;cartilage;heart;islets of Langerhans;hypothalamus;adrenal cortex;pharynx;blood;skeletal muscle;breast;bile duct;pancreas;lung;adrenal gland;trabecular meshwork;placenta;macula lutea;visual apparatus;alveolus;liver;spleen;cervix;kidney;mammary gland;aorta;peripheral nerve;thymus;	tumor;trigeminal ganglion;	0.53977	0.11809	-0.119252484	44.53880632	22.31869	0.74947
RSL24D1P1	.	.	.	ribosomal L24 domain containing 1 pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
RSL24D1P2	.	.	.	ribosomal L24 domain containing 1 pseudogene 2	.	.	.	.	.	.	.	.	.	.	.
RSL24D1P3	.	.	.	ribosomal L24 domain containing 1 pseudogene 3	.	.	.	.	.	.	.	.	.	.	.
RSL24D1P4	.	.	.	ribosomal L24 domain containing 1 pseudogene 4	.	.	.	.	.	.	.	.	.	.	.
RSL24D1P5	.	.	.	ribosomal L24 domain containing 1 pseudogene 5	.	.	.	.	.	.	.	.	.	.	.
RSL24D1P6	.	.	.	ribosomal L24 domain containing 1 pseudogene 6	.	.	.	.	.	.	.	.	.	.	.
RSL24D1P7	.	.	.	ribosomal L24 domain containing 1 pseudogene 7	.	.	.	.	.	.	.	.	.	.	.
RSL24D1P8	.	.	.	ribosomal L24 domain containing 1 pseudogene 8	.	.	.	.	.	.	.	.	.	.	.
RSL24D1P9	.	.	.	ribosomal L24 domain containing 1 pseudogene 9	.	.	.	.	.	.	.	.	.	.	.
RSL24D1P10	.	.	.	ribosomal L24 domain containing 1 pseudogene 10	.	.	.	.	.	.	.	.	.	.	.
RSL24D1P11	.	.	.	ribosomal L24 domain containing 1 pseudogene 11	.	.	.	.	.	.	.	.	.	.	.
RSPH1	0.000210570388617988	0.908975753128566	0.0908136764828157	radial spoke head 1 homolog (Chlamydomonas)	FUNCTION: May play an important role in male meiosis (By similarity). It is necessary for proper building of the axonemal central pair and radial spokes. {ECO:0000250, ECO:0000269|PubMed:23993197}.; 	.	TISSUE SPECIFICITY: Expressed in trachea, lungs, airway brushings, and testes. {ECO:0000269|PubMed:23993197}.; 	unclassifiable (Anatomical System);ovary;heart;islets of Langerhans;salivary gland;intestine;pharynx;colon;blood;skin;uterus;prostate;lung;endometrium;thyroid;placenta;visual apparatus;liver;testis;kidney;brain;bladder;stomach;	dorsal root ganglion;subthalamic nucleus;superior cervical ganglion;ciliary ganglion;pons;atrioventricular node;trigeminal ganglion;skeletal muscle;	0.05122	0.09511	0.488730112	79.52347252	377.25887	4.09598
RSPH3	0.00139623159251261	0.997081503003038	0.00152226540444903	radial spoke 3 homolog (Chlamydomonas)	FUNCTION: Functions as a protein kinase A-anchoring protein that scaffolds the cAMP-dependent protein kinase holoenzyme. May serve as a point of convergence for MAPK and PKA signaling in cilia. {ECO:0000269|PubMed:19684019}.; 	DISEASE: Ciliary dyskinesia, primary, 32 (CILD32) [MIM:616481]: A disorder characterized by abnormalities of motile cilia. Respiratory infections leading to chronic inflammation and bronchiectasis are recurrent, due to defects in the respiratory cilia. {ECO:0000269|PubMed:26073779}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	unclassifiable (Anatomical System);medulla oblongata;lymph node;islets of Langerhans;colon;retina;uterus;lung;whole body;frontal lobe;cochlea;cerebral cortex;gum;bone;hippocampus;pituitary gland;testis;kidney;brain;	testis - interstitial;testis - seminiferous tubule;testis;	0.06647	0.07243	1.159254003	92.6279783	5925.68431	15.98478
RSPH4A	1.84090351392863e-07	0.864278395289755	0.135721420619894	radial spoke head 4 homolog A (Chlamydomonas)	FUNCTION: Probable component of the axonemal radial spoke head. Radial spokes are regularly spaced along cilia, sperm and flagella axonemes. They consist of a thin stalk which is attached to a subfiber of the outer doublet microtubule, and a bulbous head which is attached to the stalk and appears to interact with the projections from the central pair of microtubules. {ECO:0000269|PubMed:19200523}.; 	.	TISSUE SPECIFICITY: Expressed in trachea, lungs, and testes. Very strong expression is detected in nasal brushings. {ECO:0000269|PubMed:23993197}.; 	unclassifiable (Anatomical System);pancreas;lung;nasopharynx;pituitary gland;testis;spleen;brain;	superior cervical ganglion;globus pallidus;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;	0.11012	.	0.824892996	88.06912008	3265.43988	10.91021
RSPH6A	2.54884442731765e-08	0.47101399617466	0.528985978336896	radial spoke head 6 homolog A (Chlamydomonas)	.	.	.	testis;	testis - seminiferous tubule;testis;ciliary ganglion;atrioventricular node;skeletal muscle;	0.07190	.	-1.056370776	7.578438311	752.26224	5.43990
RSPH9	0.00490037811031499	0.883577560608779	0.111522061280906	radial spoke head 9 homolog (Chlamydomonas)	FUNCTION: Probable component of the axonemal radial spoke head. Radial spokes are regularly spaced along cilia, sperm and flagella axonemes. They consist of a thin stalk, which is attached to a subfiber of the outer doublet microtubule, and a bulbous head, which is attached to the stalk and appears to interact with the projections from the central pair of microtubules. {ECO:0000269|PubMed:19200523}.; 	DISEASE: Ciliary dyskinesia, primary, 12 (CILD12) [MIM:612650]: A disorder characterized by abnormalities of motile cilia. Respiratory infections leading to chronic inflammation and bronchiectasis are recurrent, due to defects in the respiratory cilia; reduced fertility is often observed in male patients due to abnormalities of sperm tails. Half of the patients exhibit situs inversus, due to dysfunction of monocilia at the embryonic node and randomization of left-right body asymmetry. Primary ciliary dyskinesia associated with situs inversus is referred to as Kartagener syndrome. {ECO:0000269|PubMed:19200523}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	.	.	0.19322	.	-0.137658575	43.57159707	1276.17135	6.72440
RSPH10B	.	.	.	radial spoke head 10 homolog B (Chlamydomonas)	.	.	.	unclassifiable (Anatomical System);endometrium;thyroid;placenta;adrenal medulla;testis;retina;	.	0.08378	.	.	.	685.80127	5.22908
RSPH10B2	.	.	.	radial spoke head 10 homolog B2 (Chlamydomonas)	.	.	.	unclassifiable (Anatomical System);lung;endometrium;thyroid;placenta;adrenal medulla;testis;retina;	.	.	.	.	.	967.79555	6.01483
RSPH14	.	.	.	radial spoke head 14 homolog	.	.	TISSUE SPECIFICITY: Expressed in adult cerebellum, spinal cord, spleen, skeletal muscle and some/5 out of 9 rhabdoid tumors. Detected in fetal brain, lung, liver and kidney. {ECO:0000269|PubMed:10607907}.; 	.	.	0.07670	0.10678	0.887394731	89.18966737	.	.
RSPO1	0.00291051404723573	0.80773018363853	0.189359302314234	R-spondin 1	FUNCTION: Activator of the canonical Wnt signaling pathway by acting as a ligand for LGR4-6 receptors. Upon binding to LGR4-6 (LGR4, LGR5 or LGR6), LGR4-6 associate with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. Also regulates the canonical Wnt/beta-catenin-dependent pathway and non-canonical Wnt signaling by acting as an inhibitor of ZNRF3, an important regulator of the Wnt signaling pathway. Acts as a ligand for frizzled FZD8 and LRP6. May negatively regulate the TGF-beta pathway. Has a essential roles in ovary determination. {ECO:0000269|PubMed:16109882, ECO:0000269|PubMed:21727895, ECO:0000269|PubMed:21909076, ECO:0000269|PubMed:22575959, ECO:0000269|PubMed:22615920, ECO:0000269|PubMed:22815884, ECO:0000269|PubMed:23756652, ECO:0000269|PubMed:23809763}.; 	DISEASE: Keratoderma, palmoplantar, with squamous cell carcinoma of skin and sex reversal (PKKSCC) [MIM:610644]: A recessive syndrome characterized by XX (female to male) SRY-independent sex reversal, palmoplantar hyperkeratosis and predisposition to squamous cell carcinoma of the skin. {ECO:0000269|PubMed:17041600}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Abundantly expressed in adrenal glands, ovary, testis, thyroid and trachea but not in bone marrow, spinal cord, stomach, leukocytes colon, small intestine, prostate, thymus and spleen. {ECO:0000269|PubMed:17041600}.; 	unclassifiable (Anatomical System);uterus;cartilage;ovary;heart;placenta;parathyroid;lens;skin;	.	0.26089	0.17014	0.17280645	65.75843359	511.03533	4.62987
RSPO2	0.691140450045943	0.308011963429985	0.000847586524071722	R-spondin 2	FUNCTION: Activator of the canonical Wnt signaling pathway by acting as a ligand for LGR4-6 receptors. Upon binding to LGR4-6 (LGR4, LGR5 or LGR6), LGR4-6 associate with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. Also regulates the canonical Wnt/beta-catenin-dependent pathway and non-canonical Wnt signaling by acting as an inhibitor of ZNRF3, an important regulator of the Wnt signaling pathway. Probably also acts as a ligand for frizzled and LRP receptors. {ECO:0000269|PubMed:21727895, ECO:0000269|PubMed:21909076, ECO:0000269|PubMed:22615920}.; 	.	.	unclassifiable (Anatomical System);heart;fovea centralis;choroid;lens;skeletal muscle;skin;retina;uterus;optic nerve;whole body;lung;frontal lobe;cochlea;macula lutea;pituitary gland;testis;brain;	superior cervical ganglion;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;	0.29372	0.11139	-0.005381972	53.50908233	4896.56308	14.23857
RSPO3	0.043976319489366	0.950321169854479	0.00570251065615442	R-spondin 3	FUNCTION: Activator of the canonical Wnt signaling pathway by acting as a ligand for LGR4-6 receptors. Upon binding to LGR4-6 (LGR4, LGR5 or LGR6), LGR4-6 associate with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. Also regulates the canonical Wnt/beta-catenin-dependent pathway and non-canonical Wnt signaling by acting as an inhibitor of ZNRF3, an important regulator of the Wnt signaling pathway. Acts as a ligand for frizzled FZD8 and LRP6. May negatively regulate the TGF-beta pathway. {ECO:0000269|PubMed:21727895, ECO:0000269|PubMed:21909076, ECO:0000269|PubMed:22615920}.; 	.	TISSUE SPECIFICITY: Ubiquitously expressed. Expressed at higher level in placenta, small intestine, fetal thymus and lymph node. {ECO:0000269|PubMed:12463421}.; 	unclassifiable (Anatomical System);smooth muscle;heart;ovary;developmental;colon;parathyroid;skin;uterus;prostate;lung;endometrium;placenta;hippocampus;liver;testis;kidney;brain;	dorsal root ganglion;superior cervical ganglion;ciliary ganglion;cerebellum;	0.19799	0.11476	-0.139478553	43.29440906	16.02879	0.56706
RSPO4	0.000413043495572724	0.640387847314936	0.359199109189491	R-spondin 4	FUNCTION: Activator of the canonical Wnt signaling pathway by acting as a ligand for LGR4-6 receptors. Upon binding to LGR4-6 (LGR4, LGR5 or LGR6), LGR4-6 associate with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. Also regulates the canonical Wnt/beta-catenin-dependent pathway and non-canonical Wnt signaling by acting as an inhibitor of ZNRF3, an important regulator of the Wnt signaling pathway. {ECO:0000269|PubMed:21727895, ECO:0000269|PubMed:21909076}.; 	DISEASE: Nail disorder, non-syndromic congenital, 4 (NDNC4) [MIM:206800]: A nail disorder characterized by congenital anonychia or its milder phenotypic variant hyponychia. Anonychia/hyponychia is the absence or severe hypoplasia of all fingernails and toenails without significant bone anomalies. {ECO:0000269|PubMed:17041604}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	optic nerve;cartilage;ovary;macula lutea;visual apparatus;testis;fovea centralis;choroid;kidney;lens;retina;	superior cervical ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;	0.19936	0.13751	0.306902668	72.38145789	273.02646	3.54258
RSPRY1	0.999778005187676	0.000221994542014576	2.70309585235213e-10	ring finger and SPRY domain containing 1	.	.	.	.	.	0.39568	.	-0.293801652	32.93819297	46.0784	1.30796
RSRC1	3.41025677860813e-05	0.944271149268061	0.0556947481641533	arginine/serine-rich coiled-coil 1	FUNCTION: Plays a role in pre-mRNA splicing. Involved in both constitutive and alternative pre-mRNA splicing. May have a role in the recognition of the 3' splice site during the second step of splicing. {ECO:0000269|PubMed:15798186}.; 	.	.	ovary;salivary gland;intestine;colon;skin;uterus;prostate;frontal lobe;oesophagus;bone;testis;brain;bladder;unclassifiable (Anatomical System);heart;cartilage;islets of Langerhans;adrenal cortex;pharynx;blood;skeletal muscle;breast;pancreas;lung;visual apparatus;liver;kidney;stomach;	dorsal root ganglion;globus pallidus;trigeminal ganglion;	0.37921	0.10562	-0.337894035	30.37272942	49.35023	1.37479
RSRC2	0.992877361426345	0.00712258640124426	5.21724106633305e-08	arginine/serine-rich coiled-coil 2	.	.	.	myocardium;lymphoreticular;ovary;sympathetic chain;skin;retina;bone marrow;prostate;optic nerve;frontal lobe;cochlea;endometrium;thyroid;germinal center;bladder;brain;heart;cartilage;adrenal cortex;pharynx;blood;lens;skeletal muscle;breast;trabecular meshwork;macula lutea;visual apparatus;liver;alveolus;spleen;mammary gland;salivary gland;intestine;colon;parathyroid;fovea centralis;choroid;uterus;whole body;oesophagus;larynx;bone;testis;spinal ganglion;pineal gland;unclassifiable (Anatomical System);lymph node;cerebellum cortex;islets of Langerhans;hypothalamus;bile duct;pancreas;lung;adrenal gland;nasopharynx;placenta;amnion;head and neck;kidney;stomach;	amygdala;testis - interstitial;medulla oblongata;superior cervical ganglion;testis - seminiferous tubule;prefrontal cortex;testis;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;cingulate cortex;parietal lobe;	0.32804	0.10857	-0.317668748	31.45789101	11.17377	0.40392
RSRP1	.	.	.	arginine/serine-rich protein 1	.	.	.	.	.	0.07419	0.08336	0.905808022	89.4373673	.	.
RSS	.	.	.	Russell Silver syndrome	.	.	.	.	.	.	.	.	.	.	.
RSU1	0.0477656793520055	0.92857797200826	0.0236563486397348	Ras suppressor protein 1	FUNCTION: Potentially plays a role in the Ras signal transduction pathway. Capable of suppressing v-Ras transformation in vitro.; 	.	.	ovary;sympathetic chain;colon;parathyroid;choroid;skin;bone marrow;uterus;prostate;whole body;frontal lobe;cochlea;cerebral cortex;endometrium;bone;thyroid;testis;amniotic fluid;germinal center;brain;pineal gland;artery;unclassifiable (Anatomical System);cartilage;heart;islets of Langerhans;adrenal cortex;blood;skeletal muscle;breast;pancreas;lung;adrenal gland;nasopharynx;placenta;visual apparatus;liver;spleen;head and neck;kidney;mammary gland;stomach;aorta;	superior cervical ganglion;adipose tissue;temporal lobe;pons;atrioventricular node;skeletal muscle;skin;subthalamic nucleus;testis - seminiferous tubule;placenta;globus pallidus;ciliary ganglion;trigeminal ganglion;	0.19291	0.13264	-0.381986487	27.68931352	254.93131	3.43401
RSU1P1	.	.	.	Ras suppressor protein 1 pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
RSU1P2	.	.	.	Ras suppressor protein 1 pseudogene 2	.	.	.	.	.	.	.	.	.	.	.
RSU1P3	.	.	.	Ras suppressor protein 1 pseudogene 3	.	.	.	.	.	.	.	.	.	.	.
RTBDN	3.27850963623921e-07	0.183963056482114	0.816036615666922	retbindin	.	.	TISSUE SPECIFICITY: Expressed in retina.; 	unclassifiable (Anatomical System);choroid;fovea centralis;retina;bile duct;lung;optic nerve;bone;visual apparatus;macula lutea;liver;pineal gland;brain;	superior cervical ganglion;pancreas;atrioventricular node;pons;	0.12374	0.09639	0.106667882	61.73036093	240.14561	3.34772
RTCA	0.00292097800955511	0.984585599429831	0.0124934225606142	RNA 3'-terminal phosphate cyclase	FUNCTION: Catalyzes the conversion of 3'-phosphate to a 2',3'- cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps: (A) adenylation of the enzyme by ATP; (B) transfer of adenylate to an RNA-N3'P to produce RNA- N3'PP5'A; (C) and attack of the adjacent 2'-hydroxyl on the 3'- phosphorus in the diester linkage to produce the cyclic end product. The biological role of this enzyme is unknown but it is likely to function in some aspects of cellular RNA processing.; 	.	TISSUE SPECIFICITY: Ubiquitous.; 	.	.	0.16113	0.26878	0.373041938	75.29488087	118.74232	2.37056
RTCA-AS1	.	.	.	RTCA antisense RNA 1	.	.	.	.	.	.	.	.	.	.	.
RTCB	0.0587292330087026	0.940528075422471	0.000742691568826797	RNA 2',3'-cyclic phosphate and 5'-OH ligase	FUNCTION: Catalytic subunit of the tRNA-splicing ligase complex that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'- phosphodiester. May act as an RNA ligase with broad substrate specificity, and may function toward other RNAs. {ECO:0000269|PubMed:21311021, ECO:0000269|PubMed:24870230}.; 	.	.	.	.	0.13725	0.18224	-0.80269335	12.23755603	1426.79693	7.05638
RTEL1	0.777758475451746	0.22224152436455	1.83703998441753e-10	regulator of telomere elongation helicase 1	FUNCTION: ATP-dependent DNA helicase implicated in telomere-length regulation, DNA repair and the maintenance of genomic stability. Acts as an anti-recombinase to counteract toxic recombination and limit crossover during meiosis. Regulates meiotic recombination and crossover homeostasis by physically dissociating strand invasion events and thereby promotes noncrossover repair by meiotic synthesis dependent strand annealing (SDSA) as well as disassembly of D loop recombination intermediates. Also disassembles T loops and prevents telomere fragility by counteracting telomeric G4-DNA structures, which together ensure the dynamics and stability of the telomere. {ECO:0000255|HAMAP- Rule:MF_03065, ECO:0000269|PubMed:18957201, ECO:0000269|PubMed:23453664, ECO:0000269|PubMed:24009516}.; 	DISEASE: Dyskeratosis congenita, autosomal recessive, 5 (DKCB5) [MIM:615190]: A form of dyskeratosis congenita, a rare multisystem disorder caused by defective telomere maintenance. It is characterized by progressive bone marrow failure, and the clinical triad of reticulated skin hyperpigmentation, nail dystrophy, and mucosal leukoplakia. Common but variable features include premature graying, aplastic anemia, low platelets, osteoporosis, pulmonary fibrosis, and liver fibrosis among others. Early mortality is often associated with bone marrow failure, infections, fatal pulmonary complications, or malignancy. DKCB5 is characterized by onset of bone marrow failure and immunodeficiency in early childhood. Most patients also have growth and developmental delay and cerebellar hypoplasia, consistent with a clinical diagnosis of Hoyeraal-Hreidarsson syndrome. {ECO:0000269|PubMed:23329068, ECO:0000269|PubMed:23453664, ECO:0000269|PubMed:23591994, ECO:0000269|PubMed:23959892, ECO:0000269|PubMed:24009516}. Note=The disease is caused by mutations affecting the gene represented in this entry. RTEL1 mutations have also been found in patients with a dyskeratosis congenita-like phenotype consisting of one feature of dyskeratosis congenita and short telomeres, in the absence of the typical DKC diagnostic triad (PubMed:23329068). {ECO:0000269|PubMed:23329068}.; DISEASE: Dyskeratosis congenita, autosomal dominant, 4 (DKCA4) [MIM:615190]: A rare multisystem disorder caused by defective telomere maintenance. It is characterized by progressive bone marrow failure, and the clinical triad of reticulated skin hyperpigmentation, nail dystrophy, and mucosal leukoplakia. Common but variable features include premature graying, aplastic anemia, low platelets, osteoporosis, pulmonary fibrosis, and liver fibrosis among others. Early mortality is often associated with bone marrow failure, infections, fatal pulmonary complications, or malignancy. {ECO:0000269|PubMed:23329068}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Pulmonary fibrosis, and/or bone marrow failure, telomere- related, 3 (PFBMFT3) [MIM:616373]: A disease associated with shortened telomeres. Pulmonary fibrosis is the most common manifestation. Other manifestations include aplastic anemia due to bone marrow failure, hepatic fibrosis, and increased cancer risk, particularly myelodysplastic syndrome and acute myeloid leukemia. Phenotype, age at onset, and severity are determined by telomere length. {ECO:0000269|PubMed:25848748}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	.	.	.	0.16864	-2.481161548	0.949516395	1308.22688	6.80132
RTEL1-TNFRSF6B	.	.	.	RTEL1-TNFRSF6B readthrough (NMD candidate)	.	.	.	.	.	.	.	.	.	.	.
RTEL1P1	.	.	.	regulator of telomere elongation helicase 1 pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
RTF1	0.993637763534383	0.00636222845566554	8.00995132985629e-09	RTF1 homolog, Paf1/RNA polymerase II complex component	FUNCTION: Component of the PAF1 complex (PAF1C) which has multiple functions during transcription by RNA polymerase II and is implicated in regulation of development and maintenance of embryonic stem cell pluripotency. PAF1C associates with RNA polymerase II through interaction with POLR2A CTD non- phosphorylated and 'Ser-2'- and 'Ser-5'-phosphorylated forms and is involved in transcriptional elongation, acting both indepentently and synergistically with TCEA1 and in cooperation with the DSIF complex and HTATSF1. PAF1C is required for transcription of Hox and Wnt target genes. PAF1C is involved in hematopoiesis and stimulates transcriptional activity of KMT2A/MLL1; it promotes leukemogenesis through association with KMT2A/MLL1-rearranged oncoproteins, such as KMT2A/MLL1-MLLT3/AF9 and KMT2A/MLL1-MLLT1/ENL. PAF1C is involved in histone modifications such as ubiquitination of histone H2B and methylation on histone H3 'Lys-4' (H3K4me3). PAF1C recruits the RNF20/40 E3 ubiquitin-protein ligase complex and the E2 enzyme UBE2A or UBE2B to chromatin which mediate monoubiquitination of 'Lys-120' of histone H2B (H2BK120ub1); UB2A/B-mediated H2B ubiquitination is proposed to be coupled to transcription. PAF1C is involved in mRNA 3' end formation probably through association with cleavage and poly(A) factors. In case of infection by influenza A strain H3N2, PAF1C associates with viral NS1 protein, thereby regulating gene transcription. Binds single-stranded DNA. Required for maximal induction of heat-shock genes. Required for the trimethylation of histone H3 'Lys-4' (H3K4me3) on genes involved in stem cell pluripotency; this function is synergistic with CXXC1 indicative for an involvement of a SET1 complex (By similarity). {ECO:0000250, ECO:0000269|PubMed:19345177, ECO:0000269|PubMed:20178742}.; 	.	.	.	.	0.65572	0.14229	-0.339715008	30.06605331	27.36211	0.88156
RTFDC1	0.00393227636872296	0.95834319336826	0.0377245302630173	replication termination factor 2 domain containing 1	.	.	.	.	.	0.09313	0.09233	-0.359940251	28.93371078	40.98664	1.20095
RTKN	0.000149538066738097	0.992324330747225	0.00752613118603737	rhotekin	FUNCTION: Mediates Rho signaling to activate NF-kappa-B and may confer increased resistance to apoptosis to cells in gastric tumorigenesis. May play a novel role in the organization of septin structures. {ECO:0000269|PubMed:10940294, ECO:0000269|PubMed:15480428, ECO:0000269|PubMed:16007136}.; 	.	TISSUE SPECIFICITY: Highly expressed in prostate, moderately in kidney, heart, brain, spleen, testis, placenta, small intestine, pancreas, skeletal muscle and peripheral blood leukocytes, and weakly in ovary, colon and thymus. Weakly expressed in all normal cell lines tested. Overexpressed in various cancer cell lines. {ECO:0000269|PubMed:10873388, ECO:0000269|PubMed:15480428}.; 	smooth muscle;ovary;colon;parathyroid;skin;bone marrow;uterus;prostate;optic nerve;whole body;endometrium;bone;thyroid;testis;brain;bladder;unclassifiable (Anatomical System);cartilage;heart;lacrimal gland;tongue;islets of Langerhans;hypothalamus;muscle;blood;skeletal muscle;pancreas;lung;placenta;visual apparatus;hippocampus;liver;hypopharynx;cervix;spleen;head and neck;kidney;mammary gland;stomach;	.	0.16440	0.10277	-0.841329384	11.36470866	111.05692	2.29721
RTKN2	1.30976541627025e-14	0.0818261365503177	0.918173863449669	rhotekin 2	FUNCTION: May play an important role in lymphopoiesis. {ECO:0000269|PubMed:15504364}.; 	.	TISSUE SPECIFICITY: Expressed in lymphocytes, CD4 positive T-cells and bone marrow-derived cells. Also expressed in lung, colon, thymus and brain. {ECO:0000269|PubMed:15504364}.; 	unclassifiable (Anatomical System);placenta;testis;	testis - interstitial;testis - seminiferous tubule;testis;atrioventricular node;trigeminal ganglion;	0.10573	0.09109	-0.066061882	48.77919321	2418.31095	9.14018
